Iteration,A,R,sdvig,polojenie
169,2.5,10.0,60,-40.0
170,2.5,10.0,60,-37.5
171,2.5,10.0,60,-35.0
172,2.5,10.0,60,-32.5
173,2.5,10.0,60,-30.0
174,2.5,10.0,60,-27.5
175,2.5,10.0,60,-25.0
176,2.5,10.0,60,-22.5
177,2.5,10.0,60,-20.0
178,2.5,10.0,60,-17.5
179,2.5,10.0,60,-15.0
180,2.5,10.0,60,-12.5
181,2.5,10.0,60,-10.0
182,2.5,10.0,60,-7.5
183,2.5,10.0,60,-5.0
184,2.5,10.0,60,-2.5
185,2.5,10.0,60,0.0
186,2.5,10.0,60,2.5
187,2.5,10.0,60,5.0
188,2.5,10.0,60,7.5
189,2.5,10.0,60,10.0
190,2.5,10.0,60,12.5
191,2.5,10.0,60,15.0
192,2.5,10.0,60,17.5
193,2.5,10.0,60,20.0
194,2.5,10.0,60,22.5
195,2.5,10.0,60,25.0
196,2.5,10.0,60,27.5
197,2.5,10.0,60,30.0
198,2.5,10.0,60,32.5
199,2.5,10.0,60,35.0
200,2.5,10.0,60,37.5
201,2.5,10.0,60,40.0
202,2.5,10.0,60,42.5
203,2.5,10.0,60,45.0
204,2.5,10.0,60,47.5
205,2.5,10.0,60,50.0
206,2.5,10.0,70,-50.0
207,2.5,10.0,70,-47.5
208,2.5,10.0,70,-45.0
209,2.5,10.0,70,-42.5
210,2.5,10.0,70,-40.0
211,2.5,10.0,70,-37.5
212,2.5,10.0,70,-35.0
213,2.5,10.0,70,-32.5
214,2.5,10.0,70,-30.0
215,2.5,10.0,70,-27.5
216,2.5,10.0,70,-25.0
217,2.5,10.0,70,-22.5
218,2.5,10.0,70,-20.0
219,2.5,10.0,70,-17.5
220,2.5,10.0,70,-15.0
221,2.5,10.0,70,-12.5
222,2.5,10.0,70,-10.0
223,2.5,10.0,70,-7.5
224,2.5,10.0,70,-5.0
225,2.5,10.0,70,-2.5
226,2.5,10.0,70,0.0
227,2.5,10.0,70,2.5
228,2.5,10.0,70,5.0
229,2.5,10.0,70,7.5
230,2.5,10.0,70,10.0
231,2.5,10.0,70,12.5
232,2.5,10.0,70,15.0
233,2.5,10.0,70,17.5
234,2.5,10.0,70,20.0
235,2.5,10.0,70,22.5
236,2.5,10.0,70,25.0
237,2.5,10.0,70,27.5
238,2.5,10.0,70,30.0
239,2.5,10.0,70,32.5
240,2.5,10.0,70,35.0
241,2.5,10.0,70,37.5
242,2.5,10.0,70,40.0
243,2.5,10.0,70,42.5
244,2.5,10.0,70,45.0
245,2.5,10.0,70,47.5
246,2.5,10.0,70,50.0
247,2.5,10.0,80,-50.0
248,2.5,10.0,80,-47.5
249,2.5,10.0,80,-45.0
250,2.5,10.0,80,-42.5
251,2.5,10.0,80,-40.0
252,2.5,10.0,80,-37.5
253,2.5,10.0,80,-35.0
254,2.5,10.0,80,-32.5
255,2.5,10.0,80,-30.0
256,2.5,10.0,80,-27.5
257,2.5,10.0,80,-25.0
258,2.5,10.0,80,-22.5
259,2.5,10.0,80,-20.0
260,2.5,10.0,80,-17.5
261,2.5,10.0,80,-15.0
262,2.5,10.0,80,-12.5
263,2.5,10.0,80,-10.0
264,2.5,10.0,80,-7.5
265,2.5,10.0,80,-5.0
266,2.5,10.0,80,-2.5
267,2.5,10.0,80,0.0
268,2.5,10.0,80,2.5
269,2.5,10.0,80,5.0
270,2.5,10.0,80,7.5
271,2.5,10.0,80,10.0
272,2.5,10.0,80,12.5
273,2.5,10.0,80,15.0
274,2.5,10.0,80,17.5
275,2.5,10.0,80,20.0
276,2.5,10.0,80,22.5
277,2.5,10.0,80,25.0
278,2.5,10.0,80,27.5
279,2.5,10.0,80,30.0
280,2.5,10.0,80,32.5
281,2.5,10.0,80,35.0
282,2.5,10.0,80,37.5
283,2.5,10.0,80,40.0
284,2.5,10.0,80,42.5
285,2.5,10.0,80,45.0
286,2.5,10.0,80,47.5
287,2.5,10.0,80,50.0
288,2.5,10.0,90,-50.0
289,2.5,10.0,90,-47.5
290,2.5,10.0,90,-45.0
291,2.5,10.0,90,-42.5
292,2.5,10.0,90,-40.0
293,2.5,10.0,90,-37.5
294,2.5,10.0,90,-35.0
295,2.5,10.0,90,-32.5
296,2.5,10.0,90,-30.0
297,2.5,10.0,90,-27.5
298,2.5,10.0,90,-25.0
299,2.5,10.0,90,-22.5
300,2.5,10.0,90,-20.0
301,2.5,10.0,90,-17.5
302,2.5,10.0,90,-15.0
303,2.5,10.0,90,-12.5
304,2.5,10.0,90,-10.0
305,2.5,10.0,90,-7.5
306,2.5,10.0,90,-5.0
307,2.5,10.0,90,-2.5
308,2.5,10.0,90,0.0
309,2.5,10.0,90,2.5
310,2.5,10.0,90,5.0
311,2.5,10.0,90,7.5
312,2.5,10.0,90,10.0
313,2.5,10.0,90,12.5
314,2.5,10.0,90,15.0
315,2.5,10.0,90,17.5
316,2.5,10.0,90,20.0
317,2.5,10.0,90,22.5
318,2.5,10.0,90,25.0
319,2.5,10.0,90,27.5
320,2.5,10.0,90,30.0
321,2.5,10.0,90,32.5
322,2.5,10.0,90,35.0
323,2.5,10.0,90,37.5
324,2.5,10.0,90,40.0
325,2.5,10.0,90,42.5
326,2.5,10.0,90,45.0
327,2.5,10.0,90,47.5
328,2.5,10.0,90,50.0
329,2.5,10.0,100,-50.0
330,2.5,10.0,100,-47.5
331,2.5,10.0,100,-45.0
332,2.5,10.0,100,-42.5
333,2.5,10.0,100,-40.0
334,2.5,10.0,100,-37.5
335,2.5,10.0,100,-35.0
336,2.5,10.0,100,-32.5
337,2.5,10.0,100,-30.0
338,2.5,10.0,100,-27.5
339,2.5,10.0,100,-25.0
340,2.5,10.0,100,-22.5
341,2.5,10.0,100,-20.0
342,2.5,10.0,100,-17.5
343,2.5,10.0,100,-15.0
344,2.5,10.0,100,-12.5
345,2.5,10.0,100,-10.0
346,2.5,10.0,100,-7.5
347,2.5,10.0,100,-5.0
348,2.5,10.0,100,-2.5
349,2.5,10.0,100,0.0
350,2.5,10.0,100,2.5
351,2.5,10.0,100,5.0
352,2.5,10.0,100,7.5
353,2.5,10.0,100,10.0
354,2.5,10.0,100,12.5
355,2.5,10.0,100,15.0
356,2.5,10.0,100,17.5
357,2.5,10.0,100,20.0
358,2.5,10.0,100,22.5
359,2.5,10.0,100,25.0
360,2.5,10.0,100,27.5
361,2.5,10.0,100,30.0
362,2.5,10.0,100,32.5
363,2.5,10.0,100,35.0
364,2.5,10.0,100,37.5
365,2.5,10.0,100,40.0
366,2.5,10.0,100,42.5
367,2.5,10.0,100,45.0
368,2.5,10.0,100,47.5
369,2.5,10.0,100,50.0
370,2.5,10.0,110,-50.0
371,2.5,10.0,110,-47.5
372,2.5,10.0,110,-45.0
373,2.5,10.0,110,-42.5
374,2.5,10.0,110,-40.0
375,2.5,10.0,110,-37.5
376,2.5,10.0,110,-35.0
377,2.5,10.0,110,-32.5
378,2.5,10.0,110,-30.0
379,2.5,10.0,110,-27.5
380,2.5,10.0,110,-25.0
381,2.5,10.0,110,-22.5
382,2.5,10.0,110,-20.0
383,2.5,10.0,110,-17.5
384,2.5,10.0,110,-15.0
385,2.5,10.0,110,-12.5
386,2.5,10.0,110,-10.0
387,2.5,10.0,110,-7.5
388,2.5,10.0,110,-5.0
389,2.5,10.0,110,-2.5
390,2.5,10.0,110,0.0
391,2.5,10.0,110,2.5
392,2.5,10.0,110,5.0
393,2.5,10.0,110,7.5
394,2.5,10.0,110,10.0
395,2.5,10.0,110,12.5
396,2.5,10.0,110,15.0
397,2.5,10.0,110,17.5
398,2.5,10.0,110,20.0
399,2.5,10.0,110,22.5
400,2.5,10.0,110,25.0
401,2.5,10.0,110,27.5
402,2.5,10.0,110,30.0
403,2.5,10.0,110,32.5
404,2.5,10.0,110,35.0
405,2.5,10.0,110,37.5
406,2.5,10.0,110,40.0
407,2.5,10.0,110,42.5
408,2.5,10.0,110,45.0
409,2.5,10.0,110,47.5
410,2.5,10.0,110,50.0
411,2.5,10.0,120,-50.0
412,2.5,10.0,120,-47.5
413,2.5,10.0,120,-45.0
414,2.5,10.0,120,-42.5
415,2.5,10.0,120,-40.0
416,2.5,10.0,120,-37.5
417,2.5,10.0,120,-35.0
418,2.5,10.0,120,-32.5
419,2.5,10.0,120,-30.0
420,2.5,10.0,120,-27.5
421,2.5,10.0,120,-25.0
